taskID,promptID,sysPrompt,userPrompt
LLL.d0.s0_0,EMO01,"This is very important to my career
","Sentence: In vivo studies of the activity of four of the kinases, KinA, KinC, KinD (ykvD) and KinE (ykrQ), using abrB transcription as an indicator of Spo0A~P level, revealed that PROTEIN1 and PROTEIN were responsible for PROTEIN2 production during the exponential phase of growth in the absence of KinA and KinB.

Task: Based on the sentence, do PROTEIN1 and PROTEIN2 have a protein-protein interaction (PPI)?
Answer with exactly one of the allowed labels: no, yes.
"
LLL.d0.s0_1,EMO01,"This is very important to my career
","Sentence: In vivo studies of the activity of four of the kinases, KinA, KinC, KinD (ykvD) and KinE (ykrQ), using abrB transcription as an indicator of Spo0A~P level, revealed that PROTEIN1 and PROTEIN2 were responsible for PROTEIN production during the exponential phase of growth in the absence of KinA and KinB.

Task: Based on the sentence, do PROTEIN1 and PROTEIN2 have a protein-protein interaction (PPI)?
Answer with exactly one of the allowed labels: no, yes.
"
LLL.d0.s0_2,EMO01,"This is very important to my career
","Sentence: In vivo studies of the activity of four of the kinases, KinA, KinC, KinD (ykvD) and KinE (ykrQ), using abrB transcription as an indicator of Spo0A~P level, revealed that PROTEIN and PROTEIN1 were responsible for PROTEIN2 production during the exponential phase of growth in the absence of KinA and KinB.

Task: Based on the sentence, do PROTEIN1 and PROTEIN2 have a protein-protein interaction (PPI)?
Answer with exactly one of the allowed labels: no, yes.
"
LLL.d1.s0_3,EMO01,"This is very important to my career
","Sentence: In this mutant, expression of the PROTEIN gene, whose transcription depends on both PROTEIN1 and the phosphorylated PROTEIN2 protein, Spo0A~P, a major transcription factor during early stages of sporulation, was greatly reduced at 43 degrees C.

Task: Based on the sentence, do PROTEIN1 and PROTEIN2 have a protein-protein interaction (PPI)?
Answer with exactly one of the allowed labels: no, yes.
"
LLL.d1.s0_4,EMO01,"This is very important to my career
","Sentence: In this mutant, expression of the PROTEIN1 gene, whose transcription depends on both PROTEIN and the phosphorylated PROTEIN2 protein, Spo0A~P, a major transcription factor during early stages of sporulation, was greatly reduced at 43 degrees C.

Task: Based on the sentence, do PROTEIN1 and PROTEIN2 have a protein-protein interaction (PPI)?
Answer with exactly one of the allowed labels: no, yes.
"
LLL.d1.s0_5,EMO01,"This is very important to my career
","Sentence: In this mutant, expression of the PROTEIN1 gene, whose transcription depends on both PROTEIN2 and the phosphorylated PROTEIN protein, Spo0A~P, a major transcription factor during early stages of sporulation, was greatly reduced at 43 degrees C.

Task: Based on the sentence, do PROTEIN1 and PROTEIN2 have a protein-protein interaction (PPI)?
Answer with exactly one of the allowed labels: no, yes.
"
LLL.d2.s0_6,EMO01,"This is very important to my career
","Sentence: Transcription of PROTEIN1 was dependent on PROTEIN2 and the mRNA was detectable from 2 h after the cessation of logarithmic growth (T2 of sporulation).

Task: Based on the sentence, do PROTEIN1 and PROTEIN2 have a protein-protein interaction (PPI)?
Answer with exactly one of the allowed labels: no, yes.
"
LLL.d2.s1_7,EMO01,"This is very important to my career
","Sentence:  PROTEIN1 was transcribed by PROTEIN2 RNA polymerase from T4 of sporulation.

Task: Based on the sentence, do PROTEIN1 and PROTEIN2 have a protein-protein interaction (PPI)?
Answer with exactly one of the allowed labels: no, yes.
"
LLL.d2.s2_8,EMO01,"This is very important to my career
","Sentence: Both PROTEIN1 and PROTEIN were essential for PROTEIN2 expression, and this gene was transcribed from T5 of sporulation.

Task: Based on the sentence, do PROTEIN1 and PROTEIN2 have a protein-protein interaction (PPI)?
Answer with exactly one of the allowed labels: no, yes.
"
LLL.d2.s2_9,EMO01,"This is very important to my career
","Sentence: Both PROTEIN1 and PROTEIN2 were essential for PROTEIN expression, and this gene was transcribed from T5 of sporulation.

Task: Based on the sentence, do PROTEIN1 and PROTEIN2 have a protein-protein interaction (PPI)?
Answer with exactly one of the allowed labels: no, yes.
"
