Data_ID,PMID,Model,Prompt_ID,E1,E2,True_Label,Pred_Label,Raw_Output
0,8701013,llama3.2:1b,EMO01 + RAR02,famotidine,delirium,cid,No,"1: No
2: No
3: No
4: No
5: No
6: No"
1,8701013,llama3.2:1b,EMO01 + RAR02,famotidine,ulcers,none,No,"1: No
2: No
3: No
4: No
5: No
6: No"
2,439781,llama3.2:1b,EMO01 + RAR02,indomethacin,hypotension,cid,Yes,"1: Yes
2: No
3: Yes
4: No
5: Yes"
3,439781,llama3.2:1b,EMO01 + RAR02,sodium,hypotension,none,No,"1: Yes
2: No
3: Yes
4: No
5: Yes"
4,439781,llama3.2:1b,EMO01 + RAR02,idm,hypotension,cid,Yes,"1: Yes
2: No
3: Yes
4: No
5: Yes"
5,439781,llama3.2:1b,EMO01 + RAR02,prostaglandin,hypotension,none,No,"1: Yes
2: No
3: Yes
4: No
5: Yes"
6,439781,llama3.2:1b,EMO01 + RAR02,angiotensin,hypotension,none,Yes,"1: Yes
2: No
3: Yes
4: No
5: Yes"
7,22836123,llama3.2:1b,EMO01 + RAR02,tacrolimus,scleroderma renal crisis,none,No,"1: No
2: No
3: No
4: No
5: No
6: Yes
7: No
8: No
9: No
10: No"
8,22836123,llama3.2:1b,EMO01 + RAR02,tacrolimus,src,none,No,"1: No
2: No
3: No
4: No
5: No
6: Yes
7: No
8: No
9: No
10: No"
9,22836123,llama3.2:1b,EMO01 + RAR02,tacrolimus,systemic sclerosis,cid,No,"1: No
2: No
3: No
4: No
5: No
6: Yes
7: No
8: No
9: No
10: No"
10,22836123,llama3.2:1b,EMO01 + RAR02,tacrolimus,ssc,cid,No,"1: No
2: No
3: No
4: No
5: No
6: Yes
7: No
8: No
9: No
10: No"
11,22836123,llama3.2:1b,EMO01 + RAR02,tacrolimus,thrombotic microangiopathy,none,No,"1: No
2: No
3: No
4: No
5: No
6: Yes
7: No
8: No
9: No
10: No"
12,22836123,llama3.2:1b,EMO01 + RAR02,prednisolone,scleroderma renal crisis,none,Yes,"1: No
2: No
3: No
4: No
5: No
6: Yes
7: No
8: No
9: No
10: No"
