Data_ID,PMID,Model,Prompt_ID,E1,E2,True_Label,Pred_Label,Raw_Output
0,8701013,gemma3:270m,1,famotidine,delirium,cid,Yes,"Item 1: Yes
"
1,8701013,gemma3:270m,1,famotidine,ulcers,none,Yes,"Item 1: Yes
"
2,439781,gemma3:270m,1,indomethacin,hypotension,cid,Yes,"Item 1: Yes
"
3,439781,gemma3:270m,1,sodium,hypotension,none,Yes,"Item 1: Yes
"
4,439781,gemma3:270m,1,idm,hypotension,cid,Yes,"Item 1: Yes
"
5,439781,gemma3:270m,1,prostaglandin,hypotension,none,Yes,"Item 1: Yes
"
6,439781,gemma3:270m,1,angiotensin,hypotension,none,Yes,"Item 1: Yes
"
7,22836123,gemma3:270m,1,tacrolimus,scleroderma renal crisis,none,Yes,"Item 1: Yes
Item 2: No"
8,22836123,gemma3:270m,1,tacrolimus,src,none,Yes,"Item 1: Yes
Item 2: No"
9,22836123,gemma3:270m,1,tacrolimus,systemic sclerosis,cid,Yes,"Item 1: Yes
Item 2: No
"
10,22836123,gemma3:270m,1,tacrolimus,ssc,cid,Yes,"Item 1: Yes
Item 2: No"
11,22836123,gemma3:270m,1,tacrolimus,thrombotic microangiopathy,none,Yes,"Item 1: Yes
Item 2: No
"
12,22836123,gemma3:270m,1,prednisolone,scleroderma renal crisis,none,Yes,"Item 1: Yes
Item 2: No"
13,22836123,gemma3:270m,1,prednisolone,src,none,Yes,"Item 1: Yes
Item 2: No"
14,22836123,gemma3:270m,1,prednisolone,systemic sclerosis,none,Yes,"Item 1: Yes
Item 2: No
"
15,22836123,gemma3:270m,1,prednisolone,ssc,none,Yes,"Item 1: Yes
Item 2: No"
16,22836123,gemma3:270m,1,prednisolone,thrombotic microangiopathy,none,Yes,"Item 1: Yes
Item 2: No"
17,22836123,gemma3:270m,1,corticosteroid,scleroderma renal crisis,none,Yes,"Item 1: Yes
Item 2: No"
18,22836123,gemma3:270m,1,corticosteroid,src,none,Yes,"Item 1: Yes
Item 2: No"
19,22836123,gemma3:270m,1,corticosteroid,systemic sclerosis,cid,Yes,"Item 1: Yes
Item 2: No"
20,22836123,gemma3:270m,1,corticosteroid,ssc,cid,Yes,"Item 1: Yes
Item 2: No"
21,22836123,gemma3:270m,1,corticosteroid,thrombotic microangiopathy,none,Yes,"Item 1: Yes
Item 2: No"
22,22836123,gemma3:270m,1,cyclosporine,scleroderma renal crisis,none,Yes,"Item 1: Yes
Item 2: No"
23,22836123,gemma3:270m,1,cyclosporine,src,none,Yes,"Item 1: Yes
Item 2: No
"
24,22836123,gemma3:270m,1,cyclosporine,systemic sclerosis,none,Yes,"Item 1: Yes
Item 2: No
"
0,8701013,gemma3:270m,1 + 2,famotidine,delirium,cid,Yes,"Item 1: Yes
"
1,8701013,gemma3:270m,1 + 2,famotidine,ulcers,none,Yes,"Item 1: Yes
"
2,439781,gemma3:270m,1 + 2,indomethacin,hypotension,cid,Yes,"Item 1: Yes
"
3,439781,gemma3:270m,1 + 2,sodium,hypotension,none,Yes,"Item 1: Yes
"
4,439781,gemma3:270m,1 + 2,idm,hypotension,cid,Yes,"Item 1: Yes
"
5,439781,gemma3:270m,1 + 2,prostaglandin,hypotension,none,Yes,"Item 1: Yes
"
6,439781,gemma3:270m,1 + 2,angiotensin,hypotension,none,Yes,"Item 1: Yes
"
7,22836123,gemma3:270m,1 + 2,tacrolimus,scleroderma renal crisis,none,Yes,"Item 1: Yes
Item 2: No
"
8,22836123,gemma3:270m,1 + 2,tacrolimus,src,none,Yes,"Item 1: Yes
Item 2: No
"
9,22836123,gemma3:270m,1 + 2,tacrolimus,systemic sclerosis,cid,Yes,"Item 1: Yes
Item 2: No
"
10,22836123,gemma3:270m,1 + 2,tacrolimus,ssc,cid,Yes,"Item 1: Yes
Item 2: No
"
11,22836123,gemma3:270m,1 + 2,tacrolimus,thrombotic microangiopathy,none,Yes,"Item 1: Yes
Item 2: No
"
12,22836123,gemma3:270m,1 + 2,prednisolone,scleroderma renal crisis,none,Yes,"Item 1: Yes
Item 2: No
"
13,22836123,gemma3:270m,1 + 2,prednisolone,src,none,Yes,"Item 1: Yes
Item 2: No
"
14,22836123,gemma3:270m,1 + 2,prednisolone,systemic sclerosis,none,Yes,"Item 1: Yes
Item 2: No
"
15,22836123,gemma3:270m,1 + 2,prednisolone,ssc,none,Yes,"Item 1: Yes
Item 2: No
"
16,22836123,gemma3:270m,1 + 2,prednisolone,thrombotic microangiopathy,none,Yes,"Item 1: Yes
Item 2: No
"
17,22836123,gemma3:270m,1 + 2,corticosteroid,scleroderma renal crisis,none,Yes,"Item 1: Yes
Item 2: No
"
18,22836123,gemma3:270m,1 + 2,corticosteroid,src,none,Yes,"Item 1: Yes
Item 2: No"
19,22836123,gemma3:270m,1 + 2,corticosteroid,systemic sclerosis,cid,Yes,"Item 1: Yes
Item 2: No
"
20,22836123,gemma3:270m,1 + 2,corticosteroid,ssc,cid,Yes,"Item 1: Yes
Item 2: No
"
21,22836123,gemma3:270m,1 + 2,corticosteroid,thrombotic microangiopathy,none,Yes,"Item 1: Yes
Item 2: No"
22,22836123,gemma3:270m,1 + 2,cyclosporine,scleroderma renal crisis,none,Yes,"Item 1: Yes
Item 2: No
"
23,22836123,gemma3:270m,1 + 2,cyclosporine,src,none,Yes,"Item 1: Yes
Item 2: No"
24,22836123,gemma3:270m,1 + 2,cyclosporine,systemic sclerosis,none,Yes,"Item 1: Yes
Item 2: No
"
0,8701013,gemma3:270m,1 + 3,famotidine,delirium,cid,Yes,"Item 1: Yes
"
1,8701013,gemma3:270m,1 + 3,famotidine,ulcers,none,Yes,"Item 1: Yes
"
2,439781,gemma3:270m,1 + 3,indomethacin,hypotension,cid,Yes,"Item 1: Yes
"
3,439781,gemma3:270m,1 + 3,sodium,hypotension,none,Yes,"Item 1: Yes
"
4,439781,gemma3:270m,1 + 3,idm,hypotension,cid,Yes,"Item 1: Yes
"
5,439781,gemma3:270m,1 + 3,prostaglandin,hypotension,none,Yes,"Item 1: Yes
"
6,439781,gemma3:270m,1 + 3,angiotensin,hypotension,none,Yes,"Item 1: Yes
"
7,22836123,gemma3:270m,1 + 3,tacrolimus,scleroderma renal crisis,none,Yes,"Item 1: Yes
Item 2: No
"
8,22836123,gemma3:270m,1 + 3,tacrolimus,src,none,Yes,"Item 1: Yes
Item 2: No
"
9,22836123,gemma3:270m,1 + 3,tacrolimus,systemic sclerosis,cid,Yes,"Item 1: Yes
Item 2: No
"
10,22836123,gemma3:270m,1 + 3,tacrolimus,ssc,cid,Yes,"Item 1: Yes
Item 2: No"
11,22836123,gemma3:270m,1 + 3,tacrolimus,thrombotic microangiopathy,none,Yes,"Item 1: Yes
Item 2: No"
12,22836123,gemma3:270m,1 + 3,prednisolone,scleroderma renal crisis,none,Yes,"Item 1: Yes
Item 2: No"
13,22836123,gemma3:270m,1 + 3,prednisolone,src,none,Yes,"Item 1: Yes
Item 2: No
"
14,22836123,gemma3:270m,1 + 3,prednisolone,systemic sclerosis,none,Yes,"Item 1: Yes
Item 2: No"
15,22836123,gemma3:270m,1 + 3,prednisolone,ssc,none,Yes,"Item 1: Yes
Item 2: No"
16,22836123,gemma3:270m,1 + 3,prednisolone,thrombotic microangiopathy,none,Yes,"Item 1: Yes
Item 2: No"
17,22836123,gemma3:270m,1 + 3,corticosteroid,scleroderma renal crisis,none,Yes,"Item 1: Yes
Item 2: No
"
18,22836123,gemma3:270m,1 + 3,corticosteroid,src,none,Yes,"Item 1: Yes
Item 2: No"
19,22836123,gemma3:270m,1 + 3,corticosteroid,systemic sclerosis,cid,Yes,"Item 1: Yes
Item 2: No
"
20,22836123,gemma3:270m,1 + 3,corticosteroid,ssc,cid,Yes,"Item 1: Yes
Item 2: No"
21,22836123,gemma3:270m,1 + 3,corticosteroid,thrombotic microangiopathy,none,Yes,"Item 1: Yes
Item 2: No
"
22,22836123,gemma3:270m,1 + 3,cyclosporine,scleroderma renal crisis,none,Yes,"Item 1: Yes
Item 2: No
"
